SampleID for each row in the figure:
Row	1-layer-clusterID	SampleID
252	3	11861_3_29
253	3	11861_5_19
254	3	11893_1_52
255	3	12216_4_90
256	3	11860_6_51
257	3	11861_1_56
258	3	11861_2_87
259	4	11822_8_53
260	4	11860_5_17
261	4	11860_7_78
262	4	11861_1_1
263	4	11861_1_17
264	4	11861_3_40
265	4	11861_3_64
266	4	11861_3_89
267	4	11861_4_44
268	4	11893_1_2
269	4	12045_8_80
270	4	11860_8_77
271	4	11860_7_23
272	4	11860_7_38
273	4	11860_8_12
274	4	11860_8_41
275	4	11860_8_69
276	4	11861_2_6
277	4	11861_4_42
278	4	11861_5_4
279	4	11861_5_83
280	4	14412_3_30
281	4	11822_8_40
282	4	11860_4_48
283	4	11860_4_57
284	4	11860_4_91
285	4	11860_7_75
286	5	11860_4_33
287	5	11860_4_92
288	5	11860_5_39
289	5	11860_6_15
290	5	11860_6_45
291	5	11860_7_2
292	5	11860_7_51
293	5	11860_7_58
294	5	11860_7_82
295	5	11860_8_45
296	5	11860_8_48
297	5	11860_8_50
298	5	11861_1_19
299	5	11861_1_90
300	5	11861_1_94
301	5	11861_2_16
302	5	11861_2_3
303	5	11861_4_25
304	5	11861_4_64
305	5	11861_5_1
306	5	11861_5_48
307	5	11861_5_54
308	5	11893_1_17
309	5	12673_6_26
310	5	12673_6_39
311	5	14412_3_21
312	5	14412_3_33
313	5	14412_3_67
314	5	11861_4_86
315	5	14412_3_62
316	5	11860_4_2
317	5	11860_4_26
318	5	11860_4_9
319	5	11860_5_58
320	5	11860_6_28
321	5	11860_6_38
322	5	11860_7_63
323	5	11860_7_71
324	5	11861_4_57
325	5	11861_5_78
326	5	11893_1_84
327	5	11860_4_79
328	5	11860_8_26
329	5	11860_8_76
330	5	11861_5_79
331	5	12673_6_24
332	6	11860_4_15
333	6	11860_4_22
334	6	11860_5_21
335	6	11860_5_46
336	6	11860_5_94
337	6	11860_6_13
338	6	11860_6_24
339	6	11860_6_48
340	6	11860_6_61
341	6	11860_6_90
342	6	11861_1_33
343	6	11861_1_64
344	6	11861_1_73
345	6	11861_1_78
346	6	11861_1_9
347	6	11861_1_93
348	6	11861_2_44
349	6	11861_2_49
350	6	11861_2_86
351	6	11861_2_88
352	6	11861_3_17
353	6	11861_3_54
354	6	11861_3_56
355	6	11861_3_82
356	6	11861_3_91
357	6	11861_4_1
358	6	11861_4_13
359	6	11861_4_27
360	6	11893_1_30
361	6	11893_1_38
362	6	11893_1_39
363	6	11893_1_49
364	6	11893_1_57
365	6	11893_1_58
366	6	11893_1_68
367	6	11893_1_76
368	6	12673_6_10
369	6	12673_6_35
370	6	12673_6_49
371	6	12673_6_7
372	6	12673_6_31
373	6	11860_4_12
374	6	11860_4_25
375	6	11860_8_84
376	6	11861_1_16
377	6	11861_2_50
378	6	11861_3_9
379	6	11861_5_51
380	6	11893_1_51
381	6	12673_6_34
382	6	11860_4_27
383	6	11860_4_41
384	6	11861_1_11
385	6	11861_1_45
386	6	11861_3_13
387	6	11861_3_6
388	6	12216_4_92
389	6	12673_6_20
390	7	11860_4_13
391	7	11860_4_63
392	7	11860_4_67
393	7	11860_4_89
394	7	11860_5_56
395	7	11860_5_84
396	7	11860_7_10
397	7	11860_8_14
398	7	11860_8_15
399	7	11860_8_22
400	7	11860_8_39
401	7	11860_8_79
402	7	11861_1_18
403	7	11861_3_62
404	7	11861_4_74
405	7	11861_5_24
406	7	11861_5_44
407	7	11861_5_62
408	7	11861_5_73
409	7	11861_5_86
410	7	11893_1_48
411	7	12673_6_4
412	7	14355_8_44
413	7	14355_8_46
414	7	14355_8_93
415	7	14412_3_12
416	7	11861_4_65
417	7	11861_5_34
418	7	14412_3_75
419	7	11860_5_20
420	7	11860_8_70
421	7	11861_4_63
422	7	14355_8_39
423	7	14412_3_19
424	8	11822_8_34
425	8	11822_8_39
426	8	11822_8_51
427	8	11860_4_29
428	8	11860_4_32
429	8	11860_4_34
430	8	11860_4_46
431	8	11860_4_49
432	8	11860_4_54
433	8	11860_4_6
434	8	11860_4_68
435	8	11860_4_69
436	8	11860_5_75
437	8	11860_5_78
438	8	11860_5_91
439	8	11860_6_25
440	8	11860_6_30
441	8	11860_6_50
442	8	11860_6_65
443	8	11860_6_66
444	8	11860_6_69
445	8	11860_6_78
446	8	11860_7_11
447	8	11860_7_15
448	8	11860_7_39
449	8	11860_7_49
450	8	11860_7_66
451	8	11860_7_70
452	8	11860_7_83
453	8	11860_7_89
454	8	11860_7_96
455	8	11860_8_1
456	8	11860_8_3
457	8	11860_8_44
458	8	11860_8_46
459	8	11860_8_49
460	8	11860_8_51
461	8	11860_8_53
462	8	11861_1_12
463	8	11861_1_40
464	8	11861_1_42
465	8	11861_1_50
466	8	11861_1_60
467	8	11861_1_61
468	8	11861_1_65
469	8	11861_1_67
470	8	11861_1_75
471	8	11861_1_82
472	8	11861_2_14
473	8	11861_2_21
474	8	11861_2_24
475	8	11861_2_35
476	8	11861_2_67
477	8	11861_2_75
478	8	11861_2_82
479	8	11861_3_19
480	8	11861_3_20
481	8	11861_3_65
482	8	11861_3_72
483	8	11861_3_96
484	8	11861_4_19
485	8	11861_4_24
486	8	11861_4_26
487	8	11861_4_29
488	8	11861_4_38
489	8	11861_4_70
490	8	11861_4_77
491	8	11861_5_30
492	8	11861_5_58
493	8	11861_5_85
494	8	11893_1_10
495	8	11893_1_13
496	8	11893_1_24
497	8	11893_1_26
498	8	11893_1_37
499	8	11893_1_4
500	8	11893_1_45
501	8	11893_1_5
502	8	11893_1_69
503	8	11893_1_89
504	8	11893_1_9
505	8	12045_8_82
506	8	12273_1_83
507	8	12273_1_87
508	8	12273_1_92
509	8	12673_6_36
510	8	12673_6_48
511	8	12673_6_72
512	8	12754_4_56
513	8	12754_4_57
514	8	12754_4_59
515	8	12754_4_61
516	8	12754_4_63
517	8	14355_8_71
518	8	14412_3_63
519	8	11860_6_91
520	8	11860_7_94
521	8	11861_4_90
522	8	14355_8_68
523	9	11860_5_51
524	9	11860_7_44
525	9	11860_7_64
526	9	11860_8_13
527	9	11860_8_81
528	9	11861_1_30
529	9	11861_2_77
530	9	11861_2_9
531	9	11861_3_35
532	9	11861_3_57
533	9	11861_3_95
534	9	11861_4_35
535	9	11861_4_50
536	9	11861_4_58
537	9	11861_5_13
538	9	11861_5_2
539	9	11861_5_22
540	9	11893_1_36
541	9	12216_4_93
542	9	12673_6_32
543	9	12673_6_54
544	9	12673_6_55
545	9	14412_3_61
546	9	11861_5_42
547	9	12673_6_52
548	9	11861_3_36
549	9	11861_3_71
550	10	11860_4_20
551	10	11860_4_35
552	10	11860_4_84
553	10	11860_5_3
554	10	11860_5_36
555	10	11860_8_30
556	10	11861_1_28
557	10	11893_1_63
558	10	12273_1_91
559	10	14412_3_44
560	10	11861_5_37
561	10	11860_5_10
562	10	11860_6_21
563	10	11860_7_28
564	10	11860_7_53
565	10	11860_7_84
566	10	11860_8_54
567	10	11861_1_77
568	10	11861_2_72
569	10	11861_3_66
570	10	11861_3_75
571	10	11861_5_18
572	10	11861_5_28
573	10	12673_6_3
574	10	14355_8_83
575	10	11860_7_9
576	11	11860_4_72
577	11	11860_4_96
578	11	11860_5_54
579	11	11860_5_79
580	11	11860_5_80
581	11	11860_6_22
582	11	11860_6_76
583	11	11860_6_85
584	11	11860_7_13
585	11	11861_1_14
586	11	11861_1_29
587	11	11861_1_39
588	11	11861_2_1
589	11	11861_2_10
590	11	11861_2_15
591	11	11861_2_39
592	11	11893_1_53
593	11	12273_1_85
594	11	12673_6_29
595	11	12673_6_5
596	11	11861_4_89
597	11	14412_3_15
598	11	11860_5_6
599	11	11860_6_82
600	11	11860_7_20
601	12	11822_8_38
602	12	11860_5_9
603	12	11860_6_16
604	12	11860_6_34
605	12	11860_8_55
606	12	11861_4_92
607	12	11861_5_63
608	12	12754_4_55
609	12	11860_4_23
610	12	11860_4_24
611	12	11860_4_39
612	12	11860_4_55
613	12	11860_4_71
614	12	11860_5_38
615	12	11860_5_44
616	12	11860_5_74
617	12	11860_6_11
618	12	11860_6_23
619	12	11860_6_5
620	12	11860_6_6
621	12	11860_6_70
622	12	11860_7_17
623	12	11860_7_26
